title,drug,lng,lat,enrollment,status,locations,popuptext
Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection (COVID-19),Remdesivir,-1.4344979,50.9331825,NA,Available,"Southampton University Hospital, Southampton, United Kingdom","<b>Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection (COVID-19)</b><br /><i>Available, n = NA</i><br />Southampton University Hospital, Southampton, United Kingdom"
Study of Merimepodib in Combination With Remdesivir in Adult Patients With Advanced COVID-19,Remdesivir,-111.9544986,33.6583608,40,Not yet recruiting,"Mayo Clinic in Arizona, Phoenix, Arizona, United States","<b>Study of Merimepodib in Combination With Remdesivir in Adult Patients With Advanced COVID-19</b><br /><i>Not yet recruiting, n = 40</i><br />Mayo Clinic in Arizona, Phoenix, Arizona, United States"
Study of Merimepodib in Combination With Remdesivir in Adult Patients With Advanced COVID-19,Remdesivir,-81.44514559999999,30.2626481,40,Not yet recruiting,"Mayo Clinic in Florida, Jacksonville, Florida, United States","<b>Study of Merimepodib in Combination With Remdesivir in Adult Patients With Advanced COVID-19</b><br /><i>Not yet recruiting, n = 40</i><br />Mayo Clinic in Florida, Jacksonville, Florida, United States"
Study of Merimepodib in Combination With Remdesivir in Adult Patients With Advanced COVID-19,Remdesivir,-92.46688329999999,44.0226255,40,Not yet recruiting,"Mayo Clinic, Rochester, Minnesota, United States","<b>Study of Merimepodib in Combination With Remdesivir in Adult Patients With Advanced COVID-19</b><br /><i>Not yet recruiting, n = 40</i><br />Mayo Clinic, Rochester, Minnesota, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-117.024154,32.6172649,450,Not yet recruiting,"eStudySite - Chula Vista - PPDS, Chula Vista, California, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />eStudySite - Chula Vista - PPDS, Chula Vista, California, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-90.1139717,30.0206297,450,Not yet recruiting,"Ochsner Clinic Foundation, New Orleans, Louisiana, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Ochsner Clinic Foundation, New Orleans, Louisiana, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-93.7608764,32.4807365,450,Not yet recruiting,"Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-71.0731311,42.3344959,450,Not yet recruiting,"Boston Medical Center, Boston, Massachusetts, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Boston Medical Center, Boston, Massachusetts, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-72.6037013,42.1216158,450,Not yet recruiting,"Baystate Medical Center, Springfield, Massachusetts, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Baystate Medical Center, Springfield, Massachusetts, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-74.17522029999999,40.7443458,450,Not yet recruiting,"St. Michael'S Medical Center, Newark, New Jersey, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />St. Michael'S Medical Center, Newark, New Jersey, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Remdesivir,-111.87937,40.778402,450,Not yet recruiting,"Intermountain LDS Hospital, Salt Lake City, Utah, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Intermountain LDS Hospital, Salt Lake City, Utah, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-86.8039601,33.503198,1032,Recruiting,"University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-117.225354,32.878285,1032,Recruiting,"University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-118.4466758,34.065656,1032,Recruiting,"University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-117.8891443,33.7885817,1032,Recruiting,"University of California Irvine Medical Center - Infectious Disease, Orange, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of California Irvine Medical Center - Infectious Disease, Orange, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-122.1402524,37.405063,1032,Recruiting,"VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-122.1743078,37.4379735,1032,Recruiting,"Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-121.4567734,38.5561515,1032,Recruiting,"University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-117.1455806,32.7263636,1032,Recruiting,"Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-122.4050025,37.7561796,1032,Recruiting,"University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of Human Immunodeficiency Virus, Infectious Disease, and Global Medicine, San Francisco, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of Human Immunodeficiency Virus, Infectious Disease, and Global Medicine, San Francisco, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-118.381347,34.0767527,1032,Recruiting,"Cedars Sinai Medical Center, West Hollywood, California, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Cedars Sinai Medical Center, West Hollywood, California, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-104.8298306,39.7428484,1032,Recruiting,"Rocky Mountain Regional Veteran Affairs Medical Center - Department of Infectious Diseases, Aurora, Colorado, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Rocky Mountain Regional Veteran Affairs Medical Center - Department of Infectious Diseases, Aurora, Colorado, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-104.9904527,39.7265475,1032,Recruiting,"Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-82.3497282,29.63757429999999,1032,Recruiting,"University of Florida Health - Shands Hospital - Division of Infectious Diseases and Global Medicine, Gainesville, Florida, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Florida Health - Shands Hospital - Division of Infectious Diseases and Global Medicine, Gainesville, Florida, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-84.27859699999999,33.790841,1032,Recruiting,"Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-84.3115191,33.8016027,1032,Recruiting,"Atlanta VA Medical Center - Infectious Diseases Clinic, Decatur, Georgia, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Atlanta VA Medical Center - Infectious Diseases Clinic, Decatur, Georgia, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-87.62318499999999,41.8947452,1032,Recruiting,"Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-87.67265599999999,41.8705427,1032,Recruiting,"University of Illinois at Chicago College of Medicine - Division of Infectious Diseases, Chicago, Illinois, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Illinois at Chicago College of Medicine - Division of Infectious Diseases, Chicago, Illinois, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-90.0846281,29.9613085,1032,Recruiting,"Southeast Louisiana Veterans Health Care System (SLVHCS) - Section of Infectious Diseases, New Orleans, Louisiana, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Southeast Louisiana Veterans Health Care System (SLVHCS) - Section of Infectious Diseases, New Orleans, Louisiana, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-76.625715,39.2889604,1032,Recruiting,"University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Baltimore, Maryland, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Baltimore, Maryland, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-76.59273619999999,39.2967385,1032,Recruiting,"Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-77.09384539999999,39.0016164,1032,Recruiting,"Walter Reed National Military Medical Center, Bethesda, Maryland, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Walter Reed National Military Medical Center, Bethesda, Maryland, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-77.1043789,39.0025272,1032,Recruiting,"National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-71.0688334,42.3631542,1032,Recruiting,"Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-71.76325419999999,42.2777464,1032,Recruiting,"University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-93.2311679,44.9711356,1032,Recruiting,"University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-90.231968,38.633482,1032,Recruiting,"Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-95.9759165,41.2548549,1032,Recruiting,"University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-73.8797647,40.8801514,1032,Recruiting,"Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-73.97407369999999,40.7493378,1032,Recruiting,"New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-77.6269403,43.1230503,1032,Recruiting,"University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-78.9430478,36.0076689,1032,Recruiting,"Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-76.674595299999993,40.2643934,1032,Recruiting,"Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-75.19259799999999,39.9476279,1032,Recruiting,"University of Pennsylvania Perelman School of Medicine - Penn Institute for Immunology, Philadelphia, Pennsylvania, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Pennsylvania Perelman School of Medicine - Penn Institute for Immunology, Philadelphia, Pennsylvania, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-86.80048819999999,36.1424588,1032,Recruiting,"Vanderbilt University Medical Center - Infectious Diseases, Nashville, Tennessee, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Vanderbilt University Medical Center - Infectious Diseases, Nashville, Tennessee, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-96.8451734,32.8157077,1032,Recruiting,"University of Texas Southwestern Medical Center - Internal Medicine - Infectious Diseases, Dallas, Texas, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Texas Southwestern Medical Center - Internal Medicine - Infectious Diseases, Dallas, Texas, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-98.4167342,29.4597886,1032,Recruiting,"Brooke Army Medical Center, Fort Sam Houston, Texas, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Brooke Army Medical Center, Fort Sam Houston, Texas, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-94.7786557,29.3113831,1032,Recruiting,"University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-95.39649899999999,29.71052959999999,1032,Recruiting,"Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-98.57535209999999,29.5074654,1032,Recruiting,"University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-78.50048509999999,38.0344004,1032,Recruiting,"University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-76.3046348,36.8437973,1032,Recruiting,"Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-122.1786164,47.715878,1032,Recruiting,"EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-117.4133073,47.6488744,1032,Recruiting,"Providence Sacred Heart Medical Center, Spokane, Washington, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Providence Sacred Heart Medical Center, Spokane, Washington, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-122.55207,47.1097586,1032,Recruiting,"Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,139.716339,35.7016562,1032,Recruiting,"National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,126.9975506,37.57870820000001,1032,Recruiting,"Seoul National University Hospital, Seoul, Korea, Republic of","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Seoul National University Hospital, Seoul, Korea, Republic of"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-99.1553977,19.2891535,1032,Recruiting,"Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán - Departamento de Infectologia, Mexico City, Mexico","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán - Departamento de Infectologia, Mexico City, Mexico"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,-99.1590142,19.2921803,1032,Recruiting,"Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael Cosío Villegas, Mexico City, Mexico","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael Cosío Villegas, Mexico City, Mexico"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,103.7834994,1.2922814,1032,Recruiting,"National University Health System - Division of Infectious Diseases, Singapore, Singapore","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />National University Health System - Division of Infectious Diseases, Singapore, Singapore"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,103.8472413,1.3221188,1032,Recruiting,"National Centre for Infectious Diseases (NCID), Singapore, Singapore","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />National Centre for Infectious Diseases (NCID), Singapore, Singapore"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,103.9495701,1.3401915,1032,Recruiting,"Changi General Hospital - Clinical Trials and Research Unit (CTRU), Singapore, Singapore","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Changi General Hospital - Clinical Trials and Research Unit (CTRU), Singapore, Singapore"
Adaptive COVID-19 Treatment Trial 2 (ACTT-II),Remdesivir,103.7453915,1.3337448,1032,Recruiting,"Ng Teng Fong General Hospital - Infectious Disease Service, Singapore, Singapore","<b>Adaptive COVID-19 Treatment Trial 2 (ACTT-II)</b><br /><i>Recruiting, n = 1032</i><br />Ng Teng Fong General Hospital - Infectious Disease Service, Singapore, Singapore"
Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Remdesivir,-113.9839451,51.0789832,2900,Recruiting,"Peter Lougheed Centre, Calgary, Alberta, Canada","<b>Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial</b><br /><i>Recruiting, n = 2900</i><br />Peter Lougheed Centre, Calgary, Alberta, Canada"
Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Remdesivir,-114.1334883,51.0652154,2900,Recruiting,"Foothills Medical Centre, Calgary, Alberta, Canada","<b>Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial</b><br /><i>Recruiting, n = 2900</i><br />Foothills Medical Centre, Calgary, Alberta, Canada"
Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Remdesivir,-114.0974163,50.9903099,2900,Recruiting,"Rockyview General Hospital, Calgary, Alberta, Canada","<b>Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial</b><br /><i>Recruiting, n = 2900</i><br />Rockyview General Hospital, Calgary, Alberta, Canada"
Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Remdesivir,-113.9518929,50.8819537,2900,Recruiting,"South Health Campus, Calgary, Alberta, Canada","<b>Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial</b><br /><i>Recruiting, n = 2900</i><br />South Health Campus, Calgary, Alberta, Canada"
Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Remdesivir,-113.5232015,53.52076340000001,2900,Recruiting,"University of Alberta Hopsital, Edmonton, Alberta, Canada","<b>Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial</b><br /><i>Recruiting, n = 2900</i><br />University of Alberta Hopsital, Edmonton, Alberta, Canada"
Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Remdesivir,-123.0967667,49.2673536,2900,Recruiting,"Vancouver General Hospital, Vancouver Coastal Health, Univeristy of British Columbia, Vancouver, British Columbia, Canada","<b>Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial</b><br /><i>Recruiting, n = 2900</i><br />Vancouver General Hospital, Vancouver Coastal Health, Univeristy of British Columbia, Vancouver, British Columbia, Canada"
